SiteID	LatDD	LonDD	StreamName	Source	State	UBA_ha	Aspect_deg	Slope_per	Elev_m	Notes
BHTR	39.614861	-76.670136	Bunker Hill Tributary	Staley	MD	258.4	189.2	12.6	104.4	NA
BIBR	36.556274	-81.8694	Birch Branch	Habera	TN	501.6	358.8	17.5	824.3	NA
BIRU	41.471	-78.398	Big Run-PA	Sweka	PA	809.7	136.3	7.1	423.7	NA
BLLO	39.602581	-79.071022	Blue Lick	Wampler	MD	1893.5	144.5	14.1	549.9	Blue Lick-Lower
BLMI	39.630461	-79.05863	Blue Lick	Wampler	MD	945.1	138.5	3.9	626.5	Blue Lick-Middle
BLUP	39.637093	-79.058983	Blue Lick	Wampler	MD	845.9	74.9	3.7	649.3	Blue Lick-Upper
BNCR	34.827755	-83.68306	Big Net Creek	Rabern	GA	155.3	277.6	10.9	806.5	NA
BRCR	36.22826	-82.388855	Briar Creek	Habera	TN	477.7	325.7	5.7	678.6	NA
BRLO	39.545017	-79.140762	Big Run-MD	Wampler	MD	3390	193.3	3.1	453.3	Big Run-Lower
BRMI	39.554636	-79.147706	Big Run-MD	Wampler	MD	1910.6	157.6	2.8	480.3	Big Run-Middle
BRUP	39.583305	-79.171066	Big Run-MD	Wampler	MD	1074.7	98.8	3.1	577.4	Big Run-Upper
BSTR	39.656181	-76.738342	Bulls Sawmill Tributary	Staley	MD	370.2	171.3	11.4	160	NA
BUBR	39.586971	-77.491364	Buzzard Branch	Kashiwagi	MD	422.3	88.6	3.2	434	MBSS siteID: UMON-119
BUCR	34.776093	-84.00557	Burnett Creek	Rabern	GA	104.7	275.1	5	890	NA
BUN-1	35.552872	-83.167099	Bunches Creek	Kulp	NC	361.5	140.6	8.1	1433.8	NA
BUN-2	35.558216	-83.169373	Bunches Creek	Kulp	NC	236.8	246.2	22.7	1467.3	NA
BUN-3	35.561409	-83.168358	Bunches Creek	Kulp	NC	207.2	193.2	6.4	1482	NA
CCMI	39.492536	-79.166599	Crabtree Creek	Wampler	MD	4221.2	131.7	11.4	499	Crabtree Creek-Middle
CCUP	39.472371	-79.193461	Crabtree Creek	Wampler	MD	2876.2	77.3	6.8	591.1	Crabtree Creek-Upper
CHC-1	35.744606	-83.198692	Camel Hump Creek	Kulp	TN	249.7	69.8	34	837.1	NA
CHRI	34.801998	-83.78714	Chattahoochee River	Rabern	GA	541	156.4	2	724.3	Rabern "Station 2"
CLTR	39.679401	-76.7715	Clipper Mill Tributary	Staley	MD	179.9	346.8	12.2	163.1	NA
COS-1	35.761589	-83.209969	Cosby Creek	Kulp	TN	1460.4	8.1	6.4	621.9	NA
COS-2	35.746689	-83.199638	Cosby Creek	Kulp	TN	529.3	14.1	12.2	802.5	NA
CRCR	34.946049	-83.09362	Crane Creek	Rankin	SC	106.7	212.6	14.5	673.6	NA
CTCR	39.494637	-79.165143	Crabtree Creek	Kashiwagi	MD	4246.9	104.7	13.4	487.2	MBSS siteID: SAVA-204
DACR	34.649376	-84.181679	Davis Creek	Rabern	GA	232.3	14	6.2	851.2	NA
DEF-1	35.538275	-83.671691	Defeat Creek	Kulp	NC	391	138	17.1	858.7	NA
DES-1	35.542648	-83.675674	Desolation Creek	Kulp	NC	657.5	188.3	6.3	898.2	NA
DLRU	39.541401	-79.214066	Double Lick Run	Kashiwagi	MD	169	18.1	5.9	672.3	MBSS siteID: SAVA-276
DORI	36.1409	-82.12014	Doe River	Habera	TN	467.7	97.7	6.4	989.6	NA
DPC-1	35.589264	-83.429493	Deep Creek	Kulp	NC	193	123.3	10.7	1172.8	NA
DPC-2	35.593945	-83.432335	Deep Creek	Kulp	NC	170.7	114.9	7.8	1213.2	NA
DPC-3	35.594856	-83.432884	Deep Creek	Kulp	NC	167.2	219.4	34.9	1227.1	NA
DUN-1	35.75902	-83.2796	Dunn Creek	Kulp	TN	10.4	33.1	10.8	670	NA
DUN-2	35.75806	-83.27953	Dunn Creek	Kulp	TN	9.6	353.3	10.9	678.6	NA
DUN-3	35.75649	-83.27979	Dunn Creek	Kulp	TN	8.2	330.3	11.3	694.3	NA
DWBR	41.581669	-78.440605	Driftwood Branch	Sweka	PA	1087.1	132.9	3.4	501.9	NA
FCLLF	39.52832	-77.470734	Fishing Creek	Mullican	MD	1165.7	181.7	14.4	230.8	NA
FCLRF	39.536172	-77.46717	Fishing Creek	Mullican	MD	627.8	170.1	5.3	261.8	NA
FCP-1	35.597781	-83.56853	Fish Camp Prong	Kulp	TN	2208.8	85.2	3.9	1001.7	NA
FCP-2	35.597338	-83.568604	Fish Camp Prong	Kulp	TN	1958.4	333.2	1.3	1005.8	NA
FCP-3	35.613334	-83.566797	Fish Camp Prong	Kulp	TN	11.6	153.5	8.9	672.2	NA
FCP-4	35.592033	-83.574341	Fish Camp Prong	Kulp	TN	811.3	58.9	13.7	1061.1	NA
FCULF	39.539944	-77.477638	Fishing Creek	Mullican	MD	791.2	179.7	9	337.2	NA
FCURF	39.541821	-77.465012	Fishing Creek	Mullican	MD	568.7	248.7	19.7	293.8	NA
FLBR	34.953097	-83.538941	Flat Branch	Rabern	GA	80.8	155.4	1.6	874.4	NA
FLT-1	35.551708	-83.173767	Flat Creek	Kulp	NC	151.1	167.9	2	1476.6	NA
FMRU	41.584538	-78.249283	Fourmile Run	Sweka	PA	641.1	87	10.2	442.7	NA
FRCR	34.657803	-84.159721	Frick Creek	Rabern	GA	328.6	220.2	11.1	850.7	NA
GECR	36.559231	-81.711105	Gentry Creek	Habera	TN	553.3	80.4	24.8	967.4	NA
GRLO	38.50948	-79.066101	Gum Run	Reeser	VA	2914.3	66.7	6.2	526	Gum Run-Lower
GRRU	39.668518	-76.856911	Grave Run	Staley	MD	152.7	138.7	4.3	253.6	NA
GRUP	38.520405	-79.087013	Gum Run	Reeser	VA	531.1	80.5	23.4	609.1	Gum Run-Upper
GUBR	34.837303	-83.784538	Gurley Branch	Rabern	GA	151.1	29.2	6.4	857.4	NA
HAZ-1N	35.522007	-83.631386	Hazel Creek	Kulp	NC	3394.5	131.5	4.1	867.7	NA
HAZ-2	35.544849	-83.58313	Hazel Creek	Kulp	NC	309.9	176.2	5.7	1189.9	NA
HAZ-2N	35.529134	-83.619586	Hazel Creek	Kulp	NC	1107.4	166.8	8.3	931	NA
HAZ-3	35.545208	-83.582954	Hazel Creek	Kulp	NC	306.9	99.2	22.5	1196.8	NA
HAZ-3N	35.540798	-83.592133	Hazel Creek	Kulp	NC	620.6	213.8	9.2	1107.1	NA
HECR	36.638683	-81.574051	Helton Creek	Reeser	VA	462.1	180.2	3.4	1194.5	NA
HIRU	39.609064	-77.415759	High Run	Kashiwagi	MD	336.9	72.2	4	134.3	MBSS siteID: UMON-288
HOCR	34.982853	-83.285233	Holcomb Creek	Rabern	GA	302.3	169.7	2.5	853.1	NA
HSCR	34.795387	-83.708153	High Shoals Creek	Rabern	GA	214.1	320.9	22.1	908.4	NA
ICC-1	35.757156	-83.277206	Indian Camp Creek	Kulp	TN	784.2	74.8	23.4	672.5	NA
ICC-1N	35.767754	-83.27224	Indian Camp Creek	Kulp	TN	1083.3	54.7	5.4	589.8	NA
ICC-2	35.756302	-83.278053	Indian Camp Creek	Kulp	TN	781.9	93.2	12.8	682.2	NA
ICC-3	35.75568	-83.278397	Indian Camp Creek	Kulp	TN	781.1	29.9	15.3	689.1	NA
ICC-3N	35.737694	-83.277885	Indian Camp Creek	Kulp	TN	625.1	235.1	16.7	927	NA
